Variables.Description,YEAR,Bronx,Brooklyn,Manhattan,Queens, Staten Island,,,,,,,,,
COVI-19 cases total,,7183,10531,6106,12467,2355,,,,,,,,,
"COVI-19 cases per 1,000 people",,139,163,183,341,65,,,,,,,,,
ETHNICITY ,,,,,,,,,,,,,,,
Asian or Pacific Islander ,2017,3.838,12.199,12.366,25.980,9.506,,,,,,,,,
Black ,2017,29.029,30.099,12.348,17.132,9.574,,,,,,,,,
Native American and Alaska Native ,2017,0.233,0.114,0.115,0.208,0.120,,,,,,,,,
White ,2017,9.099,36.015,46.482,24.613,60.740,,,,,,,,,
Latino ,2017,56.158,19.127,26.131,28.006,18.576,,,,,,,,,
AGE-GROUP,,,,,,,,,,,,,,,
Males Under 5 (%),2017,3.650,3.747,2.447,3.185,2.915,,,,,,,,,
Males 5-14 (%),2017,6.895,6.192,3.775,5.499,6.319,,,,,,,,,
Males 15-24 (%),2017,7.334,5.826,5.172,5.602,6.221,,,,,,,,,
Males 25-34 (%),2017,7.846,8.947,10.848,8.176,6.730,,,,,,,,,
Males 35-44 (%),2017,5.850,6.666,7.111,6.845,6.171,,,,,,,,,
Males 45-54 (%),2017,5.861,5.509,6.199,6.707,6.779,,,,,,,,,
Males 55-64 (%),2017,4.882,4.979,5.332,6.150,6.472,,,,,,,,,
Males 65-74 (%),2017,2.910,3.304,3.746,3.776,4.251,,,,,,,,,
Males 75-84 (%),2017,1.360,1.634,1.920,1.845,1.869,,,,,,,,,
Males 85+ (%),2017,0.550,0.549,0.854,0.703,0.665,,,,,,,,,
Males Under 5 (%),2017,3.650,3.747,2.447,3.185,2.915,,,,,,,,,
Males 5-14 (%),2017,6.895,6.192,3.775,5.499,6.319,,,,,,,,,
Males 15-24 (%),2017,7.334,5.826,5.172,5.602,6.221,,,,,,,,,
Males 25-34 (%),2017,7.846,8.947,10.848,8.176,6.730,,,,,,,,,
Males 35-44 (%),2017,5.850,6.666,7.111,6.845,6.171,,,,,,,,,
Males 45-54 (%),2017,5.861,5.509,6.199,6.707,6.779,,,,,,,,,
Males 55-64 (%),2017,4.882,4.979,5.332,6.150,6.472,,,,,,,,,
Males 65-74 (%),2017,2.910,3.304,3.746,3.776,4.251,,,,,,,,,
Males 75-84 (%),2017,1.360,1.634,1.920,1.845,1.869,,,,,,,,,
Males 85+ (%),2017,0.550,0.549,0.854,0.703,0.665,,,,,,,,,
GENDER,,,,,,,,,,,,,,,
Female share,2017,52.863,52.647,52.596,51.512,51.608,,,,,,,,,
Male share,2017,47.137,47.353,47.404,48.488,48.392,,,,,,,,,
HOUSEHOLD STRUCTURE,,,,,,,,,,,,,,,
Family Without Children (% of households),2017,27.914,30.701,26.262,37.118,39.212,,,,,,,,,
Households with Children Under 18 (% of all households),2017,38.636,30.208,17.864,30.087,35.621,,,,,,,,,
Disabled ,2017,16.545,10.146,9.996,9.088,9.388,,,,,,,,,
Elderly Population (% 65+),2017,12.351,13.477,15.992,15.049,15.801,,,,,,,,,
EDUCATION,,,,,,,,,,,,,,,
Completed at Least Bachelor's Degree (% of adults 25+),2017,19.629,37.100,60.553,30.888,33.118,,,,,,,,,
Completed at Least High School (% of adults 25+),2017,71.922,82.898,86.043,82.010,88.317,,,,,,,,,
Completed Bachelor's Degree (% of adults 25+),2017,12.579,22.123,30.604,19.819,19.788,,,,,,,,,
Completed High School or High School and Some College (% of adults 25+),2017,52.293,45.798,25.490,51.122,55.199,,,,,,,,,
Did Not Complete High School (% of adults 25+),2017,28.078,17.102,13.957,17.990,11.683,,,,,,,,,
SCHOOL ENROLLEMNT,,,,,,,,,,,,,,,
Preschool Enrollment (% of 3- and 4-year olds),2017,60.460,67.516,78.302,54.728,58.987,,,,,,,,,
School Enrollment (% of population ages 3 to 24 in school),2017,77.358,80.191,78.224,80.443,80.061,,,,,,,,,
ENVIRONMENT,,,,,,,,,,,,,,,
Air Quality (annual average mcg per cubic meter of fine particulate matter),2017,7.700,7.500,8.700,7.200,6.800,,,,,,,,,
Toxic Chemicals Released into Air (lbs./year),2017,583.301,72926.220,52848.231,111991.310,0.153,,,,,,,,,
GOVERNMENT PROGRAM- FOOD,,,,,,,,,,,,,,,
SNAP Benefits (% households),2017,38.446,23.457,14.597,13.601,12.366,,,,,,,,,
HEALTH PROFILES,,,,,,,,,,,,,,,
"Avoidable Asthma Hospitalizations (per 100,000 adults)",2012,508.000,263.000,196.000,141.000,209.000,,,,,,,,,
"Avoidable Diabetes Hospitalizations (per 100,000 adults)",2012,503.000,357.000,233.000,229.000,267.000,,,,,,,,,
"Child Asthma Hospitalizations (per 10,000 children ages 5-17)",2015,410.000,186.000,264.000,132.000,96.000,,,,,,,,,
Employer-Provided Health Insurance ,2017,29.147,38.620,49.000,42.067,56.184,,,,,,,,,
"Flu and Pneumonia Deaths (per 100,000 residents)",2016,26.700,22.700,12.100,18.200,26.600,,,,,,,,,
Flu Vaccine (% of adults in past year),2015-2016,49.000,38.000,50.000,42.000,39.000,,,,,,,,,
Health Insurance Coverage ,2017,91.771,93.061,94.959,90.961,96.261,,,,,,,,,
"Heart Disease Deaths (per 100,000 residents)",2016,188.700,188.400,134.700,153.400,222.700,,,,,,,,,
"Lower Respiratory Disease Deaths (per 100,000 residents)",2016,22.000,15.300,14.500,13.900,27.500,,,,,,,,,
Obese (% of adults),2015-2016,32.000,27.000,15.000,22.000,25.000,,,,,,,,,
      HEALTH INSURANCE,,,,,,,,,,,,,,,
Multiple Health Insurers ,2017,17.922,14.453,15.039,14.820,13.026,,,,,,,,,
"Private Health Insurance, Directly Purchased ",2017,4.414,7.266,9.362,6.450,4.510,,,,,,,,,
Public Health Insurance ,2017,40.288,32.721,21.559,27.624,22.541,,,,,,,,,
HOUSING,,,,,,,,,,,,,,,
High Housing Burden (% of renters),2017,61.774,55.035,44.076,53.940,55.750,,,,,,,,,
Housing Units Occupied by Owners (%),2017,19.147,30.410,24.657,44.273,69.582,,,,,,,,,
Housing Units Occupied by Renters (%),2017,80.853,69.590,75.343,55.727,30.418,,,,,,,,,
"Public Housing Assistance (per 100,000 residents)",2018,6711.860,6927.998,4283.359,1236.689,9315.310,,,,,,,,,
Public Housing Waiting List (# of families),2015,5438.000,3947.000,2892.000,2858.000,1969.000,,,,,,,,,
